163|Dennstaedtiaceae|碗蕨科|蕨|Pteridium aquilinum subsp. latiusculum|Pteridium aquilinum subsp. latiusculum (Desv.) Hultén|1|0||原生
164|Dennstaedtiaceae|碗蕨科|巒大蕨|Pteridium aquilinum subsp. wightianum|Pteridium aquilinum subsp. wightianum (J. Agardh) W.C. Shieh|1|0||原生
609|Dipteridaceae|雙扇蕨科|燕尾蕨|Cheiropleuria bicuspis|Cheiropleuria bicuspis (Blume) C. Presl|1|0||原生
608|Dipteridaceae|雙扇蕨科|雙扇蕨|Dipteris conjugata|Dipteris conjugata Reinw.|1|0||原生
326|Dryopteridaceae|鱗毛蕨科|大孢魚鱗蕨|Acrophorus macrocarpus|Acrophorus macrocarpus Ching & S.H. Wu|1|0||未知
327|Dryopteridaceae|鱗毛蕨科|魚鱗蕨|Acrophorus stipellatus|Acrophorus stipellatus T. Moore|1|0||原生
328|Dryopteridaceae|鱗毛蕨科|彎柄假複葉耳蕨|Acrorumohra diffracta|Acrorumohra diffracta (Baker) H. Itô|1|0||原生
329|Dryopteridaceae|鱗毛蕨科|哈氏假複葉耳蕨|Acrorumohra hasseltii|Acrorumohra hasseltii (Blume) Ching|1|0||原生
330|Dryopteridaceae|鱗毛蕨科|微彎假複葉耳蕨|Acrorumohra subreflexipinna|Acrorumohra subreflexipinna (Ogata) H. Itô|1|0||原生
331|Dryopteridaceae|鱗毛蕨科|玉山假複葉耳蕨|Acrorumohra yoroii|Acrorumohra yoroii (Seriz.) W.C. Shieh|1|0||原生
332|Dryopteridaceae|鱗毛蕨科|細葉複葉耳蕨|Arachniodes aristata|Arachniodes aristata (G. Forst.) Tindale|1|0||原生
5609|Dryopteridaceae|鱗毛蕨科|中華複葉耳蕨|Arachniodes chinensis|Arachniodes chinensis (Rosenst.) Ching|1|0||原生
333|Dryopteridaceae|鱗毛蕨科|臺灣兩面複葉耳蕨|Arachniodes festina|Arachniodes festina (Hance) Ching|1|0||原生
334|Dryopteridaceae|鱗毛蕨科|臺灣複葉耳蕨|Arachniodes globisora|Arachniodes globisora (Hayata) Ching|1|0|NT|原生
335|Dryopteridaceae|鱗毛蕨科|黑鱗複葉耳蕨|Arachniodes nigrospinosa|Arachniodes nigrospinosa (Ching) Ching|1|0|NT|原生
336|Dryopteridaceae|鱗毛蕨科|小葉複葉耳蕨|Arachniodes pseudoaristata|Arachniodes pseudoaristata (Tagawa) Ohwi|1|0||原生
337|Dryopteridaceae|鱗毛蕨科|斜方複葉耳蕨|Arachniodes rhomboidea|Arachniodes rhomboidea (Schott) Ching|1|0||原生
338|Dryopteridaceae|鱗毛蕨科|屋久複葉耳蕨|Arachniodes rhomboidea var. yakusimensis|Arachniodes rhomboidea var. yakusimensis (H. Itô) W.C. Shieh|1|0||原生
411|Dryopteridaceae|鱗毛蕨科|細葉實蕨|Bolbitis angustipinna|Bolbitis angustipinna (Hayata) H. Itô|1|0||原生
412|Dryopteridaceae|鱗毛蕨科|尾葉實蕨|Bolbitis heteroclita|Bolbitis heteroclita (C. Presl) Ching|1|0||原生
413|Dryopteridaceae|鱗毛蕨科|紅柄實蕨|Bolbitis scalpturata|Bolbitis scalpturata (Fée) Ching|1|0|VU|原生
414|Dryopteridaceae|鱗毛蕨科|海南實蕨|Bolbitis subcordata|Bolbitis subcordata (Copel.) Ching|1|0||原生
409|Dryopteridaceae|鱗毛蕨科|網脈刺蕨|Bolbitis ×laxireticulata|Bolbitis ×laxireticulata K. Iwats.|1|0||原生
410|Dryopteridaceae|鱗毛蕨科|南仁刺蕨|Bolbitis ×nanjenensis|Bolbitis ×nanjenensis C.M. Kuo|1|0||原生
297|Dryopteridaceae|鱗毛蕨科|頂囊肋毛蕨|Ctenitis apiciflora|Ctenitis apiciflora (Wall. ex Mett.) Ching|1|0||原生
298|Dryopteridaceae|鱗毛蕨科|愛德氏肋毛蕨|Ctenitis eatonii|Ctenitis eatonii (Baker) Ching|1|0||原生
299|Dryopteridaceae|鱗毛蕨科|川上氏肋毛蕨|Ctenitis kawakamii|Ctenitis kawakamii (Hayata) Ching|1|0||原生
300|Dryopteridaceae|鱗毛蕨科|白鱗肋毛蕨|Ctenitis maximowicziana|Ctenitis maximowicziana (Miq.) Ching|1|0|VU|原生
301|Dryopteridaceae|鱗毛蕨科|肋毛蕨|Ctenitis subglandulosa|Ctenitis subglandulosa (Hance) Ching|1|0||原生
302|Dryopteridaceae|鱗毛蕨科|玉山肋毛蕨|Ctenitis transmorrisonensis|Ctenitis transmorrisonensis (Hayata) Tagawa|1|0||原生
339|Dryopteridaceae|鱗毛蕨科|柳葉蕨|Cyrtogonellum fraxinellum|Cyrtogonellum fraxinellum (Christ) Ching|1|0|VU|原生
340|Dryopteridaceae|鱗毛蕨科|細齒貫眾蕨|Cyrtomium caryotideum|Cyrtomium caryotideum (Wall. ex Hook. & Grev.) C. Presl|1|0||原生
341|Dryopteridaceae|鱗毛蕨科|全緣貫眾蕨|Cyrtomium falcatum|Cyrtomium falcatum (L. f.) C. Presl|1|0||原生
342|Dryopteridaceae|鱗毛蕨科|狹葉貫眾蕨|Cyrtomium hookerianum|Cyrtomium hookerianum (C. Presl) C. Chr.|1|0||原生
343|Dryopteridaceae|鱗毛蕨科|尖葉貫眾蕨|Cyrtomium macrophyllum var. acuminatum|Cyrtomium macrophyllum var. acuminatum (Diels) Tagawa|1|0|EN|原生
344|Dryopteridaceae|鱗毛蕨科|臺灣貫眾蕨|Cyrtomium taiwanianum|Cyrtomium taiwanianum Tagawa|1|0|VU|原生
345|Dryopteridaceae|鱗毛蕨科|紅線蕨|Diacalpe aspidioides|Diacalpe aspidioides Blume|1|0|VU|原生
346|Dryopteridaceae|鱗毛蕨科|擬鱗毛蕨|Dryopsis ×fauriei|Dryopsis ×fauriei Holttum & P.J. Edwards|1|0||未知
347|Dryopteridaceae|鱗毛蕨科|腺鱗毛蕨|Dryopteris alpestris|Dryopteris alpestris Tagawa|1|0||原生
348|Dryopteridaceae|鱗毛蕨科|桫欏鱗毛蕨|Dryopteris atrata|Dryopteris atrata (Wall. ex Kunze) Ching|1|0||原生
349|Dryopteridaceae|鱗毛蕨科|闊葉鱗毛蕨|Dryopteris austriaca|Dryopteris austriaca (Jacq.) Woyn. ex Schinz & Thell.|1|0||原生
350|Dryopteridaceae|鱗毛蕨科|密毛鱗毛蕨|Dryopteris barbigera|Dryopteris barbigera (T. Moore ex Hook.) Kuntze|1|0||原生
351|Dryopteridaceae|鱗毛蕨科|闊鱗鱗毛蕨|Dryopteris championii|Dryopteris championii (Benth.) C. Chr. ex Ching|1|0|VU|未知
